era,e_migdppcln,logpop,l_pwd_a,Elr,W4,e_peaveduc
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,,"(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,,"(16.862, 21.069]",,"(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,,,,,"(0.706, 1.0]","(7.23, 13.3]"
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
2,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,,,,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(0.864, 1.841]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,,"(0.706, 1.0]",
