gwid,gwgroupid,religion1,rel1_size,religion2,rel2_size,religion3,rel3_size,language1,lang1_size,language2,lang2_size,language3,lang3_size,phenotype1,pheno1_size,phenotype2,pheno2_size,phenotype3,pheno3_size
80,8003000,ARC1,0.71,ARC4,0.21,,0,kek,0.57,mop,0.35,yua,0.08,ame,1,,0,,0
80,8004000,ARC1,0.55,ARC99,0.23,ARC4,0.14,cab,0.56,eng,0.44,,0,ssa,0.7,ame,0.2,eur,0.1
90,9001000,ARC1,0.57,ARC4,0.31,ARC99,0.08,spa,1,,0,,0,eur,0.5,ame,0.5,,0
90,9002000,ARC1,0.77,ARC4,0.15,ARC99,0.07,quc,0.24,kek,0.05,quc,0.03,ame,1,,0,,0
90,9003000,ARC1,0.51,ARC99,0.21,ANI199,0.15,cab,1,,0,,0,ame,1,,0,,0
90,9004000,ARC1,0.5,ANI199,0.5,,0,spa,1,,0,,0,ame,1,,0,,0
91,9106000,ARC1,0.75,ARC4,0.19,ARC99,0.03,spa,1,,0,,0,eur,0.5,ame,0.5,,0
91,9107000,ARC1,0.59,ARC4,0.31,ANI,0.03,spa,0.7,miq,0.27,pay,0.02,ame,1,,0,,0
91,9110000,ARC1,0.54,ARC99,0.36,ANI,0.1,cab,1,,0,,0,ssa,0.5,ame,0.5,,0
92,9201000,ARC1,0.58,ARC4,0.26,,0,spa,1,,0,,0,eur,1,,0,,0
92,9202000,ARC1,0.78,ARC4,0.12,,0,spa,0.99,,0,,0,ame,1,,0,,0
93,9301000,ARC1,0.71,ARC4,0.15,ARC99,0.12,spa,1,,0,,0,eur,0.6,ame,0.4,,0
93,9302000,ARC4,0.46,ARC1,0.34,ARC99,0.14,spa,0.9,bzk,0.1,,0,ssa,1,,0,,0
93,9303000,ARC4J,0.54,ARC1,0.23,ARC99,0.14,miq,1,,0,,0,ame,1,,0,,0
93,9305000,ARC4J,0.6,ARC1,0.17,ANI,0.1,sum,1,,0,,0,ame,1,,0,,0
94,9401000,ARC1,0.75,,0,,0,spa,1,,0,,0,eur,0.75,ame,0.2,ssa,0.05
94,9402000,ARC1,0.49,ARC4,0.28,ARC99,0.14,jam,0.9,,0,,0,ssa,1,,0,,0
94,9403000,ARC1,0.63,ARC99,0.17,ARC4,0.13,spa,0.5,bzd,0.1,cjp,0.1,ame,1,,0,,0
95,9501000,ARC1,0.75,ARC4,0.14,,0,spa,1,,0,,0,eur,0.6,ame,0.2,ssa,0.2
95,9502000,ARC4,0.39,ARC1,0.26,ARC99,0.22,jam,1,,0,,0,ssa,1,,0,,0
95,9503000,ARC1,0.6,ARC4,0.19,,0,gym,1,,0,,0,ame,1,,0,,0
95,9504000,ARC1,0.64,ARC4,0.13,ANI,0.1,cuk,1,,0,,0,ame,1,,0,,0
95,9505000,ARC1,0.76,ANI,0.14,,0,emp,1,,0,,0,ame,1,,0,,0
100,10001000,ARC1,0.91,,0,,0,spa,1,,0,,0,eur,0.6,ame,0.4,,0
100,10002000,ARC1,0.81,,0,,0,spa,1,,0,,0,ssa,1,,0,,0
