Outcome,OutcomeCategory,Model,Stat,Result
PublicWantCommonGood,EndogPublicGoods,W4+p_res_norm,loglike,  -6857.56
PublicWantCommonGood,EndogPublicGoods,W4+r_res_norm,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,W4+r_res_norm,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,W4+r_res_norm,AIC,  13787.59
PublicWantCommonGood,EndogPublicGoods,W4+r_res_norm,loglike,  -6829.32
PublicWantCommonGood,EndogPublicGoods,W4+g_res_norm,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,W4+g_res_norm,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,W4+g_res_norm,AIC,  13848.95
PublicWantCommonGood,EndogPublicGoods,W4+g_res_norm,loglike,  -6860.00
TransparentLaws,KeyPublicGoods,W4,beta,      3.12
TransparentLaws,KeyPublicGoods,W4,tstat,     13.80
TransparentLaws,KeyPublicGoods,W4,AIC,  14127.37
TransparentLaws,KeyPublicGoods,W4,loglike,  -7000.26
TransparentLaws,KeyPublicGoods,l_pwd_a,beta,      0.01
TransparentLaws,KeyPublicGoods,l_pwd_a,tstat,      0.13
TransparentLaws,KeyPublicGoods,l_pwd_a,AIC,   1940.00
TransparentLaws,KeyPublicGoods,l_pwd_a,loglike,   -946.83
TransparentLaws,KeyPublicGoods,ln_pwd_g,beta,     -0.10
TransparentLaws,KeyPublicGoods,ln_pwd_g,tstat,     -0.05
TransparentLaws,KeyPublicGoods,ln_pwd_g,AIC,   1940.08
TransparentLaws,KeyPublicGoods,ln_pwd_g,loglike,   -946.87
TransparentLaws,KeyPublicGoods,ln_pwd_m,beta,      1.14
TransparentLaws,KeyPublicGoods,ln_pwd_m,tstat,      0.86
TransparentLaws,KeyPublicGoods,ln_pwd_m,AIC,   1928.83
TransparentLaws,KeyPublicGoods,ln_pwd_m,loglike,   -941.25
TransparentLaws,KeyPublicGoods,wb_urbpop,beta,      0.01
TransparentLaws,KeyPublicGoods,wb_urbpop,tstat,      0.81
TransparentLaws,KeyPublicGoods,wb_urbpop,AIC,  17755.79
TransparentLaws,KeyPublicGoods,wb_urbpop,loglike,  -8814.46
TransparentLaws,KeyPublicGoods,l_res_norm,beta,     -1.15
TransparentLaws,KeyPublicGoods,l_res_norm,tstat,     -2.22
