Outcome,OutcomeCategory,Model,Stat,Result
GoodsRatio,EndogPublicGoods,W4+l_res_norm/l_res_norm,BIC, -28540.51
GoodsRatio,EndogPublicGoods,W4+l_res_norm/l_res_norm,loglike,  14556.80
GoodsRatio,EndogPublicGoods,W4+p_res_norm,betap,      0.06
GoodsRatio,EndogPublicGoods,W4+p_res_norm,tstatp,      1.77
GoodsRatio,EndogPublicGoods,W4+p_res_norm,AIC, -29667.06
GoodsRatio,EndogPublicGoods,W4+p_res_norm,BIC, -29213.81
GoodsRatio,EndogPublicGoods,W4+p_res_norm,loglike,  14898.00
GoodsRatio,EndogPublicGoods,W4+p_res_norm/W4,betaw,      0.11
GoodsRatio,EndogPublicGoods,W4+p_res_norm/W4,tstatw,      4.25
GoodsRatio,EndogPublicGoods,W4+p_res_norm/W4,AIC, -29587.12
GoodsRatio,EndogPublicGoods,W4+p_res_norm/W4,BIC, -29140.95
GoodsRatio,EndogPublicGoods,W4+p_res_norm/W4,loglike,  14857.02
GoodsRatio,EndogPublicGoods,W4+p_res_norm/p_res_norm,betap,      0.08
GoodsRatio,EndogPublicGoods,W4+p_res_norm/p_res_norm,tstatp,      2.33
GoodsRatio,EndogPublicGoods,W4+p_res_norm/p_res_norm,AIC, -29050.60
GoodsRatio,EndogPublicGoods,W4+p_res_norm/p_res_norm,BIC, -28604.42
GoodsRatio,EndogPublicGoods,W4+p_res_norm/p_res_norm,loglike,  14588.76
GoodsRatio,EndogPublicGoods,W4+r_res_norm,betap,     -0.07
GoodsRatio,EndogPublicGoods,W4+r_res_norm,tstatp,     -1.16
GoodsRatio,EndogPublicGoods,W4+r_res_norm,AIC, -29622.75
GoodsRatio,EndogPublicGoods,W4+r_res_norm,BIC, -29169.51
GoodsRatio,EndogPublicGoods,W4+r_res_norm,loglike,  14875.85
GoodsRatio,EndogPublicGoods,W4+r_res_norm/W4,betaw,      0.11
GoodsRatio,EndogPublicGoods,W4+r_res_norm/W4,tstatw,      4.25
GoodsRatio,EndogPublicGoods,W4+r_res_norm/W4,AIC, -29587.12
GoodsRatio,EndogPublicGoods,W4+r_res_norm/W4,BIC, -29140.95
GoodsRatio,EndogPublicGoods,W4+r_res_norm/W4,loglike,  14857.02
GoodsRatio,EndogPublicGoods,W4+r_res_norm/r_res_norm,betap,     -0.08
GoodsRatio,EndogPublicGoods,W4+r_res_norm/r_res_norm,tstatp,     -1.41
GoodsRatio,EndogPublicGoods,W4+r_res_norm/r_res_norm,AIC, -28970.02
GoodsRatio,EndogPublicGoods,W4+r_res_norm/r_res_norm,BIC, -28523.84
GoodsRatio,EndogPublicGoods,W4+r_res_norm/r_res_norm,loglike,  14548.46
GoodsRatio,EndogPublicGoods,W4+g_res_norm,betap,      0.03
GoodsRatio,EndogPublicGoods,W4+g_res_norm,tstatp,      0.72
GoodsRatio,EndogPublicGoods,W4+g_res_norm,AIC, -29593.68
GoodsRatio,EndogPublicGoods,W4+g_res_norm,BIC, -29140.44
GoodsRatio,EndogPublicGoods,W4+g_res_norm,loglike,  14861.31
GoodsRatio,EndogPublicGoods,W4+g_res_norm/W4,betaw,      0.11
GoodsRatio,EndogPublicGoods,W4+g_res_norm/W4,tstatw,      4.25
GoodsRatio,EndogPublicGoods,W4+g_res_norm/W4,AIC, -29587.12
GoodsRatio,EndogPublicGoods,W4+g_res_norm/W4,BIC, -29140.95
GoodsRatio,EndogPublicGoods,W4+g_res_norm/W4,loglike,  14857.02
GoodsRatio,EndogPublicGoods,W4+g_res_norm/g_res_norm,betap,      0.04
GoodsRatio,EndogPublicGoods,W4+g_res_norm/g_res_norm,tstatp,      0.79
GoodsRatio,EndogPublicGoods,W4+g_res_norm/g_res_norm,AIC, -28930.58
GoodsRatio,EndogPublicGoods,W4+g_res_norm/g_res_norm,BIC, -28484.41
GoodsRatio,EndogPublicGoods,W4+g_res_norm/g_res_norm,loglike,  14528.75
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a,betap,     -0.42
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a,tstatp,     -0.50
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a,AIC,   1973.30
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a,BIC,   2120.06
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a,loglike,   -962.47
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/W4,betaw,      2.49
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/W4,tstatw,      5.48
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/W4,AIC,   1972.76
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/W4,BIC,   2113.42
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/W4,loglike,   -963.22
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,betap,     -0.36
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,tstatp,     -0.41
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,AIC,   2420.35
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,BIC,   2561.00
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,loglike,  -1187.01
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,betap,     -2.00
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,tstatp,     -1.24
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,AIC,   1959.47
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,BIC,   2106.23
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g,loglike,   -955.56
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/W4,betaw,      2.49
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/W4,tstatw,      5.48
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/W4,AIC,   1972.76
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/W4,BIC,   2113.42
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/W4,loglike,   -963.22
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,betap,     -1.57
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,tstatp,     -0.94
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,AIC,   2412.98
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,BIC,   2553.64
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,loglike,  -1183.33
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,betap,     -1.30
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,tstatp,     -1.35
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,AIC,   1960.39
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,BIC,   2107.15
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m,loglike,   -956.02
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/W4,betaw,      2.49
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/W4,tstatw,      5.48
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/W4,AIC,   1972.76
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/W4,BIC,   2113.42
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/W4,loglike,   -963.22
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,betap,     -0.86
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,tstatp,     -0.78
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,AIC,   2415.68
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,BIC,   2556.34
PrivateorPublicGoods,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,loglike,  -1184.68
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,betap,      0.00
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,tstatp,      0.03
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,AIC,  17371.30
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,BIC,  17827.86
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop,loglike,  -8621.20
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/W4,betaw,      0.96
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/W4,tstatw,      2.86
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/W4,AIC,  17369.28
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/W4,BIC,  17818.72
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/W4,loglike,  -8621.21
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,betap,      0.00
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,tstatp,      0.56
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,AIC,  17677.55
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,BIC,  18127.00
PrivateorPublicGoods,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,loglike,  -8775.34
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,betap,     -1.06
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,tstatp,     -1.42
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,AIC,  15415.34
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,BIC,  15868.65
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm,loglike,  -7643.20
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/W4,betaw,      0.94
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/W4,tstatw,      2.85
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/W4,AIC,  15501.72
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/W4,BIC,  15947.96
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/W4,loglike,  -7687.40
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/l_res_norm,betap,     -1.23
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/l_res_norm,tstatp,     -1.70
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/l_res_norm,AIC,  15713.55
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/l_res_norm,BIC,  16159.79
PrivateorPublicGoods,EndogPublicGoods,W4+l_res_norm/l_res_norm,loglike,  -7793.32
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,betap,      0.12
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,tstatp,      0.35
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,AIC,  15501.47
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,BIC,  15954.77
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm,loglike,  -7686.26
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm/W4,betaw,      0.94
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm/W4,tstatw,      2.85
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm/W4,AIC,  15501.72
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm/W4,BIC,  15947.96
PrivateorPublicGoods,EndogPublicGoods,W4+p_res_norm/W4,loglike,  -7687.40
