Outcome,OutcomeCategory,Stat,W4,W4+p1,W4+p1/W4,W4+p1/p1,W4+p2,W4+p2/W4,W4+p2/p2,W4+p3,W4+p3/W4,W4+p3/p3,W4+p4,W4+p4/W4,W4+p4/p4,W4+p5,W4+p5/W4,W4+p5/p5,W4+p6,W4+p6/W4,W4+p6/p6,p1,p2,p3,p4,p5,p6
CivilLiberties,Freedoms,BIC,-19627.67,-10468.33,-10476.43,-7287.53,-19064.38,-19024.44,-6457.13,-10470.17,-10476.43,-7303.1,-19063.67,-19024.44,-6460.04,-10312.5,-10317.83,-7165.68,-10312.15,-10317.83,-7164.68,-7287.53,-6457.13,-7303.1,-6460.04,-7165.68,-7164.68
CivilLiberties,Freedoms,loglike,10102.39,5331.48,5331.48,3737.03,9822.94,9798.42,3514.77,5332.4,5331.48,3744.81,9822.58,9798.42,3516.22,5253.42,5252.04,3675.96,5253.25,5252.04,3675.46,3737.03,3514.77,3744.81,3516.22,3675.96,3675.46
FreeElections,Freedoms,betaw,5.29,6.91,6.93,,5.25,5.37,,6.88,6.93,,5.25,5.37,,6.91,6.92,,6.91,6.92,,,,,,,
FreeElections,Freedoms,betap,,0.28,,0.5,0.04,,0.08,0.45,,0.74,0.04,,0.08,-0.02,,-0.04,-0.02,,-0.04,0.5,0.08,0.74,0.08,-0.04,-0.04
FreeElections,Freedoms,tstatw,21.48,13.37,13.57,,21.15,21.85,,13.26,13.57,,21.15,21.85,,13.48,13.57,,13.49,13.57,,,,,,,
FreeElections,Freedoms,tstatp,,0.64,,0.88,3.34,,4.06,1.18,,1.42,3.37,,4.09,-0.46,,-0.8,-0.41,,-0.74,0.88,4.06,1.42,4.09,-0.8,-0.74
FreeElections,Freedoms,AIC,13931.91,3067.59,3070.63,4309.44,12899.4,13042.77,17943.21,3057.79,3070.63,4293.36,12897.97,13042.77,17939.23,3038.15,3037.65,4274.41,3038.46,3037.65,4275.22,4309.44,17943.21,4293.36,17939.23,4274.41,4275.22
FreeElections,Freedoms,BIC,14370.55,3212.26,3209.29,4448.09,13341.35,13477.83,18378.27,3202.45,3209.29,4432.01,13339.92,13477.83,18374.29,3182.5,3176.0,4412.76,3182.81,3176.0,4413.57,4448.09,18378.27,4432.01,18374.29,4412.76,4413.57
FreeElections,Freedoms,loglike,-6902.44,-1509.6,-1512.14,-2131.54,-6385.14,-6457.84,-8908.06,-1504.7,-1512.14,-2123.5,-6384.43,-6457.84,-8906.07,-1494.88,-1495.64,-2114.02,-1495.03,-1495.64,-2114.43,-2131.54,-8908.06,-2123.5,-8906.07,-2114.02,-2114.43
FreeMovement,Freedoms,betaw,0.54,0.28,0.28,,0.55,0.55,,0.27,0.28,,0.55,0.55,,0.28,0.28,,0.28,0.28,,,,,,,
FreeMovement,Freedoms,betap,,0.06,,0.06,0.0,,0.01,0.06,,0.07,0.0,,0.01,-0.0,,-0.0,-0.0,,-0.0,0.06,0.01,0.07,0.01,-0.0,-0.0
FreeMovement,Freedoms,tstatw,7.76,2.98,2.99,,7.6,7.62,,2.91,2.99,,7.59,7.62,,3.01,3.01,,3.01,3.01,,,,,,,
FreeMovement,Freedoms,tstatp,,0.99,,1.03,1.42,,2.16,0.97,,1.28,1.43,,2.18,-0.14,,-0.22,-0.13,,-0.19,1.03,2.16,1.28,2.18,-0.22,-0.19
FreeMovement,Freedoms,AIC,-13551.67,-10758.86,-10736.17,-10500.72,-14279.47,-14249.75,-11627.23,-10759.16,-10736.17,-10511.4,-14279.96,-14249.75,-11629.65,-10597.37,-10599.22,-10338.38,-10597.35,-10599.22,-10338.25,-10500.72,-11627.23,-10511.4,-11629.65,-10338.38,-10338.25
FreeMovement,Freedoms,BIC,-13101.41,-10612.6,-10595.99,-10360.53,-13826.93,-13804.27,-11181.74,-10612.89,-10595.99,-10371.21,-13827.42,-13804.27,-11184.17,-10451.4,-10459.31,-10198.48,-10451.38,-10459.31,-10198.35,-10360.53,-11181.74,-10371.21,-11184.17,-10198.48,-10198.35
FreeMovement,Freedoms,loglike,6839.26,5403.61,5391.25,5273.53,7204.21,7188.34,5877.07,5403.76,5391.25,5278.87,7204.45,7188.34,5878.29,5322.87,5322.78,5192.36,5322.86,5322.78,5192.29,5273.53,5877.07,5278.87,5878.29,5192.36,5192.29
PolRights,Freedoms,betaw,6.8,6.32,6.32,,6.75,6.71,,6.3,6.32,,6.76,6.71,,6.32,6.32,,6.32,6.32,,,,,,,
PolRights,Freedoms,betap,,0.35,,0.38,-0.03,,0.01,0.25,,0.54,-0.03,,0.01,-0.0,,-0.01,-0.01,,-0.01,0.38,0.01,0.54,0.01,-0.01,-0.01
PolRights,Freedoms,tstatw,21.98,8.22,8.26,,21.4,21.29,,8.1,8.26,,21.41,21.29,,8.24,8.23,,8.24,8.23,,,,,,,
PolRights,Freedoms,tstatp,,1.27,,0.97,-1.69,,0.5,0.93,,1.35,-1.68,,0.53,-0.11,,-0.25,-0.11,,-0.2,0.97,0.5,1.35,0.53,-0.25,-0.2
