,model,bhp,pp10,pp05,pp01,bhw,pw10,pw05,pw01,m3_win_bic,m3_win_aic,meanbetap,meanbetaw
100,gwf_personal+r_res_norm,8.0,0,0,0,3.0,1,0,0,25.0,30.0,2.5905714285714287,0.04428571428571429
94,gwf_personal+g_res_norm,26.0,6,4,1,3.0,1,0,0,20.0,28.0,3.8320000000000003,0.044000000000000004
93,gwf_personal+e_peaveduc,19.0,2,1,1,3.0,1,1,0,14.0,21.0,0.45742857142857135,0.04028571428571429
56,gwf_demo+ln_pwd_a,29.0,11,10,5,33.0,20,15,9,20.0,24.0,15.691714285714284,0.5459999999999999
57,gwf_demo+ln_pwd_g,32.0,7,5,2,33.0,21,17,8,13.0,24.0,18.329142857142855,0.5637142857142857
58,gwf_demo+ln_pwd_m,27.0,1,1,1,33.0,21,17,9,9.0,19.0,8.459714285714284,0.5914285714285714
61,gwf_demo+wb_urbpop,15.0,9,6,3,32.0,28,28,27,24.0,30.0,0.07257142857142858,1.2905714285714287
55,gwf_demo+l_res_norm,9.0,2,1,1,32.0,29,28,27,21.0,32.0,2.592285714285714,1.3894285714285715
59,gwf_demo+p_res_norm,28.0,1,1,1,32.0,28,28,27,20.0,26.0,1.9468571428571428,1.3031428571428572
60,gwf_demo+r_res_norm,8.0,0,0,0,32.0,28,28,27,24.0,29.0,2.912857142857143,1.3591428571428572
54,gwf_demo+g_res_norm,21.0,5,3,1,32.0,28,28,27,20.0,29.0,3.5905714285714283,1.3254285714285714
53,gwf_demo+e_peaveduc,19.0,3,2,1,32.0,28,27,27,15.0,21.0,0.49114285714285716,1.246
