model,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic,meanbetap,meanbetaw,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic
Przeworski+ln_pwd_a,31,13,10,7,4,33,17,14,8,3,18,27,17.16057143,0.440571429,89%,37%,29%,20%,11%,94%,49%,40%,23%,9%,51%,77%
Przeworski+ln_pwd_g,30,13,10,4,1,34,17,16,8,3,20,26,20.94914286,0.459142857,86%,37%,29%,11%,3%,97%,49%,46%,23%,9%,57%,74%
Przeworski+ln_pwd_m,28,6,2,1,1,34,17,15,8,3,12,18,11.20085714,0.475428571,80%,17%,6%,3%,3%,97%,49%,43%,23%,9%,34%,51%
Przeworski+wb_urbpop,14,10,5,3,2,32,27,26,25,23,13,14,0.066857143,1.061428571,40%,29%,14%,9%,6%,91%,77%,74%,71%,66%,37%,40%
Przeworski+l_res_norm,9,2,1,1,0,32,28,26,25,24,5,7,2.609142857,1.127428571,26%,6%,3%,3%,0%,91%,80%,74%,71%,69%,14%,20%
Przeworski+p_res_norm,31,6,2,2,0,32,26,26,25,24,24,27,1.950285714,1.082285714,89%,17%,6%,6%,0%,91%,74%,74%,71%,69%,69%,77%
Przeworski+r_res_norm,7,0,0,0,0,32,27,26,25,24,5,5,3.116285714,1.121142857,20%,0%,0%,0%,0%,91%,77%,74%,71%,69%,14%,14%
Przeworski+g_res_norm,21,3,2,0,0,32,26,26,25,24,13,16,3.790285714,1.096285714,60%,9%,6%,0%,0%,91%,74%,74%,71%,69%,37%,46%
Przeworski+e_peaveduc,21,4,2,1,1,31,26,26,25,22,10,12,0.512571429,0.978571429,60%,11%,6%,3%,3%,89%,74%,74%,71%,63%,29%,34%
gwf_party+ln_pwd_a,31,13,12,6,4,3,1,1,1,1,18,25,16.59085714,0.022571429,89%,37%,34%,17%,11%,9%,3%,3%,3%,3%,51%,71%
gwf_party+ln_pwd_g,34,12,8,3,1,3,1,1,1,1,18,29,20.17171429,0.022285714,97%,34%,23%,9%,3%,9%,3%,3%,3%,3%,51%,83%
gwf_party+ln_pwd_m,30,6,2,1,1,2,1,1,1,1,11,19,9.350285714,0.018285714,86%,17%,6%,3%,3%,6%,3%,3%,3%,3%,31%,54%
gwf_party+wb_urbpop,15,10,5,3,2,8,1,1,0,0,13,13,0.075714286,0.286857143,43%,29%,14%,9%,6%,23%,3%,3%,0%,0%,37%,37%
gwf_party+l_res_norm,9,2,1,1,0,7,2,0,0,0,5,7,2.231428571,0.221142857,26%,6%,3%,3%,0%,20%,6%,0%,0%,0%,14%,20%
gwf_party+p_res_norm,33,6,1,1,0,7,1,0,0,0,24,28,2.317142857,0.263714286,94%,17%,3%,3%,0%,20%,3%,0%,0%,0%,69%,80%
gwf_party+r_res_norm,8,0,0,0,0,7,1,0,0,0,4,5,2.632857143,0.244857143,23%,0%,0%,0%,0%,20%,3%,0%,0%,0%,11%,14%
gwf_party+g_res_norm,23,2,2,1,1,7,0,0,0,0,13,19,3.912571429,0.237714286,66%,6%,6%,3%,3%,20%,0%,0%,0%,0%,37%,54%
gwf_party+e_peaveduc,20,3,1,1,0,8,1,0,0,0,6,11,0.490857143,0.230285714,57%,9%,3%,3%,0%,23%,3%,0%,0%,0%,17%,31%
gwf_military+ln_pwd_a,30,12,12,6,4,21,7,6,2,2,18,25,16.44971429,0.196,86%,34%,34%,17%,11%,60%,20%,17%,6%,6%,51%,71%
gwf_military+ln_pwd_g,33,10,7,2,1,19,6,5,2,2,18,27,19.99542857,0.183142857,94%,29%,20%,6%,3%,54%,17%,14%,6%,6%,51%,77%
gwf_military+ln_pwd_m,28,2,1,1,1,21,6,5,2,1,9,16,9.015428571,0.184,80%,6%,3%,3%,3%,60%,17%,14%,6%,3%,26%,46%
gwf_military+wb_urbpop,15,9,6,4,2,6,0,0,0,0,13,13,0.076285714,0.100571429,43%,26%,17%,11%,6%,17%,0%,0%,0%,0%,37%,37%
gwf_military+l_res_norm,9,2,1,1,0,5,0,0,0,0,5,7,2.285714286,0.064285714,26%,6%,3%,3%,0%,14%,0%,0%,0%,0%,14%,20%
gwf_military+p_res_norm,33,3,2,1,0,6,0,0,0,0,23,28,2.296285714,0.075714286,94%,9%,6%,3%,0%,17%,0%,0%,0%,0%,66%,80%
gwf_military+r_res_norm,8,0,0,0,0,5,0,0,0,0,4,5,2.681428571,0.065714286,23%,0%,0%,0%,0%,14%,0%,0%,0%,0%,11%,14%
gwf_military+g_res_norm,26,8,4,1,1,5,0,0,0,0,17,22,4.030285714,0.072285714,74%,23%,11%,3%,3%,14%,0%,0%,0%,0%,49%,63%
gwf_military+e_peaveduc,20,3,1,1,1,6,0,0,0,0,6,11,0.500857143,0.068571429,57%,9%,3%,3%,3%,17%,0%,0%,0%,0%,17%,31%
gwf_monarchy+ln_pwd_a,29,12,11,6,4,5,5,3,3,3,18,24,16.342,0.128571429,83%,34%,31%,17%,11%,14%,14%,9%,9%,9%,51%,69%
gwf_monarchy+ln_pwd_g,33,9,7,2,1,6,5,4,3,1,18,28,19.62714286,0.058285714,94%,26%,20%,6%,3%,17%,14%,11%,9%,3%,51%,80%
gwf_monarchy+ln_pwd_m,28,1,1,1,1,5,3,3,2,1,10,17,8.828285714,0.037142857,80%,3%,3%,3%,3%,14%,9%,9%,6%,3%,29%,49%
gwf_monarchy+wb_urbpop,17,10,6,4,2,21,8,5,3,3,13,15,0.076857143,0.369714286,49%,29%,17%,11%,6%,60%,23%,14%,9%,9%,37%,43%
gwf_monarchy+l_res_norm,9,1,1,1,0,21,8,5,3,3,4,7,1.832571429,0.350857143,26%,3%,3%,3%,0%,60%,23%,14%,9%,9%,11%,20%
gwf_monarchy+p_res_norm,33,4,2,1,0,22,11,7,5,2,24,29,2.134571429,0.387142857,94%,11%,6%,3%,0%,63%,31%,20%,14%,6%,69%,83%
gwf_monarchy+r_res_norm,8,1,0,0,0,23,8,7,4,2,4,6,2.782,0.376285714,23%,3%,0%,0%,0%,66%,23%,20%,11%,6%,11%,17%
gwf_monarchy+g_res_norm,25,6,2,1,1,22,9,6,3,3,15,21,4.133714286,0.373142857,71%,17%,6%,3%,3%,63%,26%,17%,9%,9%,43%,60%
gwf_monarchy+e_peaveduc,19,3,1,1,1,25,8,7,3,2,6,11,0.488285714,0.392285714,54%,9%,3%,3%,3%,71%,23%,20%,9%,6%,17%,31%
gwf_personal+ln_pwd_a,29,11,10,5,2,5,0,0,0,0,18,20,15.892,0.132857143,83%,31%,29%,14%,6%,14%,0%,0%,0%,0%,51%,57%
gwf_personal+ln_pwd_g,31,8,5,2,1,5,0,0,0,0,11,23,18.064,0.127428571,89%,23%,14%,6%,3%,14%,0%,0%,0%,0%,31%,66%
