Outcome,OutcomeCategory,Stat,W4+g_res_norm,W4+g_res_norm/W4,W4+g_res_norm/g_res_norm,W4+l_res_norm,W4+l_res_norm/W4,W4+l_res_norm/l_res_norm,W4+ln_pwd_a,W4+ln_pwd_a/W4,W4+ln_pwd_a/ln_pwd_a,W4+ln_pwd_g,W4+ln_pwd_g/W4,W4+ln_pwd_g/ln_pwd_g,W4+ln_pwd_m,W4+ln_pwd_m/W4,W4+ln_pwd_m/ln_pwd_m,W4+p_res_norm,W4+p_res_norm/W4,W4+p_res_norm/p_res_norm,W4+r_res_norm,W4+r_res_norm/W4,W4+r_res_norm/r_res_norm,W4+wb_urbpop,W4+wb_urbpop/W4,W4+wb_urbpop/wb_urbpop
PublicWantCommonGood,EndogPublicGoods,AIC,13849.14,13851.81,19088.19,13800.24,13851.81,18966.81,2625.33,2656.07,4055.12,2599.68,2656.07,4050.1,2629.19,2656.07,4068.26,13844.25,13851.81,18997.25,13787.77,13851.81,18995.16,15241.35,15246.81,20374.06
PublicWantCommonGood,EndogPublicGoods,BIC,14302.45,14298.05,19534.43,14253.55,14298.05,19413.05,2772.09,2796.72,4195.78,2746.44,2796.72,4190.76,2775.95,2796.72,4208.91,14297.56,14298.05,19443.49,14241.08,14298.05,19441.4,15697.92,15696.25,20823.5
PublicWantCommonGood,EndogPublicGoods,loglike,-6860.1,-6862.45,-9480.64,-6835.65,-6862.45,-9419.95,-1288.49,-1304.87,-2004.4,-1275.66,-1304.87,-2001.89,-1290.42,-1304.87,-2010.96,-6857.66,-6862.45,-9435.17,-6829.41,-6862.45,-9434.13,-7556.23,-7559.97,-10123.6
CivilLiberties,Freedoms,betaw,,1.21,,,1.21,,,1.26,,,1.26,,,1.26,,,1.21,,,1.21,,,1.22,
CivilLiberties,Freedoms,betap,0.13,,0.25,-0.17,,-0.41,-0.03,,0.01,-0.1,,0.12,0.1,,0.32,0.01,,0.22,-0.11,,-0.29,0.0,,0.0
CivilLiberties,Freedoms,tstatw,,34.3,,,34.3,,,14.78,,,14.78,,,14.78,,,34.3,,,34.3,,,37.1,
CivilLiberties,Freedoms,tstatp,2.01,,1.43,-2.13,,-2.93,-0.13,,0.03,-0.28,,0.27,0.5,,0.99,0.13,,1.83,-1.27,,-1.78,1.97,,3.01
CivilLiberties,Freedoms,AIC,-19605.66,-19561.49,-6933.39,-19679.66,-19561.49,-7051.16,-10834.49,-10836.26,-7628.78,-10835.8,-10836.26,-7629.68,-10838.04,-10836.26,-7643.5,-19559.79,-19561.49,-6985.55,-19593.07,-19561.49,-6947.14,-20227.7,-20158.86,-7306.13
CivilLiberties,Freedoms,BIC,-19152.35,-19115.24,-6487.15,-19226.35,-19115.24,-6604.92,-10687.73,-10695.6,-7488.12,-10689.04,-10695.6,-7489.02,-10691.28,-10695.6,-7502.85,-19106.48,-19115.24,-6539.31,-19139.76,-19115.24,-6500.9,-19771.14,-19709.42,-6856.69
CivilLiberties,Freedoms,loglike,9867.3,9844.2,3530.15,9904.3,9844.2,3589.04,5441.42,5441.29,3837.55,5442.08,5441.29,3838.0,5443.2,5441.29,3844.92,9844.36,9844.2,3556.23,9861.0,9844.2,3537.02,10178.3,10142.86,3716.5
FreeElections,Freedoms,betaw,,5.27,,,5.27,,,6.78,,,6.78,,,6.78,,,5.27,,,5.27,,,5.38,
FreeElections,Freedoms,betap,-0.14,,0.6,-0.57,,-1.66,1.09,,1.92,-0.74,,1.99,-0.56,,1.65,0.11,,0.81,-0.01,,-0.7,0.02,,0.04
FreeElections,Freedoms,tstatw,,21.14,,,21.14,,,13.27,,,13.27,,,13.27,,,21.14,,,21.14,,,22.21,
FreeElections,Freedoms,tstatp,-0.36,,0.78,-0.87,,-1.9,0.58,,0.78,-0.3,,0.61,-0.43,,0.83,0.32,,1.25,-0.02,,-1.12,3.11,,4.01
FreeElections,Freedoms,AIC,13271.07,13270.11,18427.61,13250.39,13270.11,18342.98,3123.68,3125.9,4363.32,3126.89,3125.9,4367.07,3126.45,3125.9,4363.54,13270.55,13270.11,18395.68,13272.14,13270.11,18423.68,13576.02,13703.23,18760.55
FreeElections,Freedoms,BIC,13713.89,13706.03,18863.52,13693.21,13706.03,18778.89,3268.87,3265.05,4502.47,3272.08,3265.05,4506.22,3271.64,3265.05,4502.69,13713.37,13706.03,18831.6,13714.96,13706.03,18859.6,14020.77,14141.05,19198.37
FreeElections,Freedoms,loglike,-6570.98,-6571.52,-9150.27,-6560.64,-6571.52,-9107.95,-1537.65,-1539.77,-2158.49,-1539.26,-1539.77,-2160.36,-1539.04,-1539.77,-2158.6,-6570.72,-6571.52,-9134.31,-6571.52,-6571.52,-9148.31,-6723.47,-6788.09,-9316.76
FreeMovement,Freedoms,betaw,,0.54,,,0.54,,,0.28,,,0.28,,,0.28,,,0.54,,,0.54,,,0.55,
FreeMovement,Freedoms,betap,0.11,,0.17,-0.16,,-0.26,0.25,,0.26,0.09,,0.13,0.17,,0.21,0.07,,0.16,-0.1,,-0.18,0.0,,0.0
FreeMovement,Freedoms,tstatw,,7.51,,,7.51,,,3.04,,,3.04,,,3.04,,,7.51,,,7.51,,,7.79,
FreeMovement,Freedoms,tstatp,1.01,,1.56,-0.75,,-1.11,0.95,,1.0,0.2,,0.32,0.75,,1.0,0.7,,1.42,-0.6,,-0.9,1.32,,2.18
FreeMovement,Freedoms,AIC,-14425.98,-14407.18,-11791.55,-14461.38,-14407.18,-11872.16,-11036.92,-11015.29,-10773.5,-11014.53,-11015.29,-10753.15,-11023.99,-11015.29,-10766.81,-14426.01,-14407.18,-11846.82,-14422.62,-14407.18,-11797.83,-13442.4,-13415.37,-11088.37
FreeMovement,Freedoms,BIC,-13972.67,-13960.94,-11345.31,-14008.07,-13960.94,-11425.92,-10890.16,-10874.64,-10632.84,-10867.78,-10874.64,-10612.49,-10877.23,-10874.64,-10626.15,-13972.7,-13960.94,-11400.58,-13969.31,-13960.94,-11351.59,-12985.84,-12965.92,-10638.92
FreeMovement,Freedoms,loglike,7277.46,7267.04,5959.23,7295.16,7267.04,5999.54,5542.64,5530.81,5409.91,5531.45,5530.81,5399.74,5536.17,5530.81,5406.57,7277.47,7267.04,5986.87,7275.78,7267.04,5962.37,6785.65,6771.12,5607.62
PolRights,Freedoms,betaw,,6.74,,,6.74,,,6.34,,,6.34,,,6.34,,,6.74,,,6.74,,,6.77,
PolRights,Freedoms,betap,-0.48,,0.5,-2.17,,-3.42,1.51,,1.68,2.56,,3.65,1.91,,3.01,-0.16,,1.21,-0.53,,-1.55,-0.01,,0.01
PolRights,Freedoms,tstatw,,21.66,,,21.66,,,8.44,,,8.44,,,8.44,,,21.66,,,21.66,,,21.61,
PolRights,Freedoms,tstatp,-0.51,,0.28,-3.48,,-3.8,1.27,,0.96,1.25,,1.26,1.54,,1.54,-0.4,,1.92,-0.58,,-1.33,-1.08,,0.79
PolRights,Freedoms,AIC,16325.07,16327.58,21467.52,16169.3,16327.58,21271.34,4895.4,4901.33,6002.17,4892.82,4901.33,5993.85,4890.21,4901.33,5985.75,16327.92,16327.58,21418.79,16322.92,16327.58,21441.52,16581.51,16596.09,21640.65
PolRights,Freedoms,BIC,16676.27,16671.9,21811.84,16520.5,16671.9,21615.66,5042.12,5041.95,6142.79,5039.53,5041.95,6134.46,5036.92,5041.95,6126.37,16679.12,16671.9,21763.11,16674.12,16671.9,21785.84,16933.02,16940.71,21985.27
